                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8328,                 6.1271,                 11.234,                 2.3843,                  0.016,                0.23077,                 0.0106,                0.00374,                  0.016,                0.23077,                0.01079,                0.00287,                 2.8164,                 3.4493,                 10.321,                 2.5642,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.0371,                  5.734,                 10.047,                 2.5935,                0.04354,                0.07692,                0.01855,                0.00509,                 0.0205,                0.30769,                0.01161,                0.00305,                 2.8492,                 3.3326,                 9.8726,                 2.5756,              9.998e-05,              9.998e-05,              9.998e-05
                      3,                 2.9135,                 5.3527,                 10.375,                 2.5384,                0.02779,                0.38462,                0.01726,                0.00504,                0.02493,                0.30769,                 0.0127,                0.00355,                  2.805,                 3.2149,                 9.6958,                 2.5766,             0.00015994,             0.00015994,             0.00015994
                      4,                 2.9479,                 5.6551,                  11.49,                 2.4926,                0.02156,                0.23077,                 0.0176,                0.00519,                 0.0232,                0.23077,                0.01465,                0.00395,                 2.8051,                  3.196,                 9.4114,                 2.5846,             0.00021987,             0.00021987,             0.00021987
                      5,                 2.6174,                 2.8958,                 11.375,                 2.2255,                0.00807,                0.53846,                0.00706,                0.00193,                0.00807,                0.53846,                0.00706,                0.00162,                 2.6873,                0.22645,                 294.33,                  2.987,             0.00027978,             0.00027978,             0.00027978
                      6,                 2.2675,                0.87499,                 5.2464,                 1.9537,                0.00598,                0.76923,                0.00581,                 0.0023,                0.00598,                0.76923,                0.00589,                0.00245,                 2.2919,                0.20717,                  198.5,                 2.0857,             0.00033966,             0.00033966,             0.00033966
                      7,                 2.0849,                0.87684,                 4.0426,                 1.6435,                0.00932,                0.84615,                0.00979,                0.00379,                0.01017,                0.92308,                0.01072,                0.00422,                  2.185,                0.22718,                 921.19,                 1.5664,             0.00039952,             0.00039952,             0.00039952
                      8,                  1.762,                0.62776,                 3.3434,                 1.3377,                0.01559,                      1,                0.01619,                0.00365,                0.01577,                      1,                 0.0162,                 0.0048,                 2.1534,                0.51358,                 205.67,                  1.704,             0.00045936,             0.00045936,             0.00045936
                      9,                 1.9475,                0.73154,                 3.5257,                 1.4872,                0.00261,                0.76923,                 0.0025,                0.00085,                0.00287,                0.84615,                0.00288,                0.00094,                 1.9578,                0.28678,                    inf,                 1.9801,             0.00051918,             0.00051918,             0.00051918
                     10,                 1.6494,                 1.3345,                 2.8294,                 1.4946,                0.00941,                0.23077,                0.00612,                0.00148,                0.00941,                0.23077,                0.00563,                0.00138,                 2.0612,                0.21149,                 239.72,                  1.923,             0.00057897,             0.00057897,             0.00057897
                     11,                 1.4501,                0.60895,                  2.149,                 1.2468,                0.00166,                0.38462,                 0.0011,                0.00027,                0.00132,                0.30769,                0.00095,                0.00021,                  3.097,                0.61426,                 272.83,                   3.02,             0.00063873,             0.00063873,             0.00063873
                     12,                 1.8828,                0.71852,                 2.1908,                 1.4806,                0.00878,                0.07692,                0.00203,                 0.0006,                0.00878,                0.07692,                0.00203,                0.00041,                  3.504,                 1.0331,                 151.46,                 3.5711,             0.00069848,             0.00069848,             0.00069848
                     13,                 1.5656,                 1.0456,                 2.1183,                 1.3156,                0.86867,                0.15385,                 0.1673,                0.11695,                0.86867,                0.15385,                0.16644,                0.10927,                 2.3213,                 2.2801,                 25.541,                 2.0647,             0.00075819,             0.00075819,             0.00075819
                     14,                 1.5615,                0.72482,                 2.2863,                 1.2818,                   0.05,                0.38462,                0.03278,                0.01193,                0.07223,                0.38462,                0.05721,                0.01633,                 1.7754,                 2.0444,                 18.849,                 1.7728,             0.00081789,             0.00081789,             0.00081789
                     15,                 1.4526,                0.74496,                 1.7823,                 1.2462,                0.00909,                0.61538,                0.00887,                0.00321,                0.00909,                0.61538,                0.00826,                0.00339,                 2.0266,                 2.0991,                 44.579,                 2.0029,             0.00087756,             0.00087756,             0.00087756
                     16,                 1.4069,                0.71966,                 1.5737,                 1.1819,                0.00992,                0.69231,                0.00978,                0.00381,                 0.0101,                0.69231,                0.00887,                0.00397,                 1.9331,                 2.7879,                 17.735,                 1.8042,             0.00093721,             0.00093721,             0.00093721
                     17,                 1.3526,                0.56825,                 1.5475,                 1.2386,                0.01315,                0.15385,                0.00798,                0.00314,                0.01315,                0.15385,                0.00798,                  0.003,                 2.1274,                0.58141,                 58.763,                  2.654,             0.00099683,             0.00099683,             0.00099683
                     18,                 1.6269,                0.76933,                 1.7812,                 1.4945,                0.00051,                0.15385,                0.00031,                0.00014,                0.00051,                0.15385,                0.00031,                0.00012,                 3.6506,                 4.8863,                 87.961,                 4.8674,              0.0010564,              0.0010564,              0.0010564
                     19,                 1.5228,                0.68236,                 1.7532,                 1.3247,                0.00179,                0.30769,                0.00152,                 0.0005,                0.00179,                0.53846,                0.00152,                0.00051,                 3.3321,                 2.4548,                 37.641,                 3.2834,               0.001116,               0.001116,               0.001116
                     20,                 1.4181,                0.83605,                 1.5976,                 1.3503,                0.13243,                0.69231,                0.14065,                 0.0428,                0.13243,                0.69231,                0.14065,                0.04171,                 2.1038,                0.45122,                 22.036,                 2.1662,              0.0011756,              0.0011756,              0.0011756
                     21,                 1.3403,                0.63703,                  1.316,                 1.2203,                0.01348,                0.07692,                0.00757,                0.00199,                0.01348,                0.07692,                0.00787,                0.00168,                 3.2817,                 2.7522,                 23.771,                 2.9582,              0.0012351,              0.0012351,              0.0012351
                     22,                 1.3899,                0.60289,                  1.348,                 1.2723,                0.00435,                0.07692,                0.00103,                0.00048,                0.00435,                0.07692,                0.00103,                0.00043,                 3.7164,                 2.9374,                 27.299,                 4.1111,              0.0012946,              0.0012946,              0.0012946
                     23,                 1.3704,                0.94014,                 1.3783,                 1.2443,                0.16314,                0.53846,                0.33621,                0.15629,                0.13983,                0.46154,                0.30994,                0.06462,                  2.128,                 5.7321,                 51.963,                   2.19,              0.0013541,              0.0013541,              0.0013541
                     24,                 1.6603,                0.68268,                 1.7195,                 1.4603,                0.02549,                0.23077,                0.01491,                0.00253,                0.00198,                0.07692,                0.00046,                0.00018,                 3.3329,                 23.461,                   40.2,                 3.4049,              0.0014135,              0.0014135,              0.0014135
                     25,                 1.3422,                0.56702,                 1.4915,                 1.2277,                0.16478,                0.15385,                0.07777,                0.04248,                0.16478,                0.15385,                0.07777,                0.03916,                 2.3827,                0.08459,                 19.368,                 2.1252,               0.001473,               0.001473,               0.001473
                     26,                 1.3842,                0.57445,                 1.3904,                 1.2708,                0.00128,                0.38462,                0.00092,                0.00037,                0.00128,                0.38462,                0.00092,                0.00035,                 2.8107,                0.10585,                 34.417,                  2.418,              0.0015324,              0.0015324,              0.0015324
                     27,                  1.198,                0.58957,                 1.0953,                 1.1258,                0.00077,                0.23077,                0.00049,                  9e-05,                0.00161,                0.38462,                0.00109,                0.00018,                 3.7866,                0.16704,                 76.925,                 3.8283,              0.0015918,              0.0015918,              0.0015918
                     28,                 1.5418,                0.56957,                 1.2311,                 1.2591,                0.00103,                0.30769,                0.00069,                0.00021,                0.00154,                0.46154,                 0.0012,                 0.0003,                 3.5905,                0.40317,                 86.242,                 4.1648,              0.0016511,              0.0016511,              0.0016511
                     29,                  1.233,                0.66205,                 1.1106,                 1.1352,                0.00103,                0.30769,                0.00069,                0.00021,                0.00154,                0.46154,                 0.0012,                 0.0003,                 3.5905,                0.40317,                 86.242,                 4.1648,              0.0017105,              0.0017105,              0.0017105
                     30,                 1.4788,                0.50464,                 1.1012,                 1.2905,                0.02178,                0.38462,                0.01351,                0.00388,                0.02178,                0.38462,                0.01351,                0.00424,                 2.8776,                0.60132,                 59.514,                 2.9869,              0.0017698,              0.0017698,              0.0017698
                     31,                 1.4108,                0.75903,                 1.1356,                 1.2658,                0.01529,                0.30769,                0.01083,                0.00405,                0.01314,                0.30769,                0.00982,                0.00387,                 2.3912,                0.40867,                 35.851,                 2.4188,              0.0018291,              0.0018291,              0.0018291
                     32,                 1.2982,                0.62949,                 1.1076,                 1.1746,                0.83206,                0.38462,                0.42436,                 0.1529,                0.83206,                0.38462,                0.42436,                0.12375,                 2.2467,                0.21047,                 11.051,                 2.1805,              0.0018883,              0.0018883,              0.0018883
                     33,                 1.3083,                0.69688,                  1.112,                 1.1778,                0.83206,                0.38462,                0.42436,                 0.1529,                0.83206,                0.38462,                0.42436,                0.12375,                 2.2467,                0.21047,                 11.051,                 2.1805,              0.0019476,              0.0019476,              0.0019476
                     34,                 1.2653,                0.86531,                 1.0453,                 1.2066,                0.65681,                0.30769,                0.40944,                 0.2332,                0.65681,                0.30769,                0.40928,                0.19951,                 1.9142,                 0.1439,                 4.0284,                 1.8422,              0.0019869,              0.0019869,              0.0019869
                     35,                 1.3525,                0.95497,                 1.2361,                  1.289,                0.23436,                0.53846,                0.34718,                0.20886,                0.23436,                0.53846,                0.33681,                0.20135,                  1.667,                0.08893,                 5.1346,                 1.7361,              0.0019869,              0.0019869,              0.0019869
                     36,                 1.3662,                 1.0197,                 1.3762,                 1.2323,                0.63632,                0.53846,                0.53066,                0.32657,                0.63632,                0.53846,                0.53066,                0.34791,                 1.4754,                0.20395,                  2.327,                 1.5728,              0.0019865,              0.0019865,              0.0019865
                     37,                 1.3487,                 0.7163,                 1.1771,                 1.2516,                0.63632,                0.53846,                0.53066,                0.32657,                0.63632,                0.53846,                0.53066,                0.34791,                 1.4754,                0.20395,                  2.327,                 1.5728,              0.0019861,              0.0019861,              0.0019861
                     38,                 1.3815,                0.59737,                 1.2553,                 1.2919,                0.73832,                0.53846,                0.59657,                0.37865,                0.73832,                0.53846,                0.59657,                0.37174,                 1.3273,                0.14327,                 2.4297,                 1.4188,              0.0019857,              0.0019857,              0.0019857
                     39,                 1.5598,                0.91101,                 1.4068,                 1.3297,                0.84313,                0.82799,                0.80501,                0.49142,                0.84313,                0.82799,                0.80501,                0.49503,                 1.3551,                 0.0379,                 4.1951,                 1.5131,              0.0019853,              0.0019853,              0.0019853
                     40,                 1.5529,                0.82224,                 1.0699,                 1.2843,                0.70243,                0.90862,                0.83162,                0.57166,                0.70243,                0.90862,                0.83162,                0.53351,                 1.1998,                0.05723,                 9.0479,                 1.4366,               0.001985,               0.001985,               0.001985
                     41,                 1.3412,                0.79938,                 1.0986,                 1.1718,                0.70243,                0.90862,                0.83162,                0.57166,                0.70243,                0.90862,                0.83162,                0.53351,                 1.1998,                0.05723,                 9.0479,                 1.4366,              0.0019846,              0.0019846,              0.0019846
                     42,                 1.4061,                0.82939,                 1.2817,                 1.2497,                0.63237,                0.53001,                 0.5179,                0.22084,                0.63237,                0.53001,                 0.5179,                0.23434,                 1.7261,                0.10817,                 15.013,                 1.7103,              0.0019842,              0.0019842,              0.0019842
                     43,                 1.4416,                0.72736,                 1.2269,                 1.2916,                0.69417,                0.53846,                0.57557,                0.36098,                0.69417,                0.53846,                0.57557,                0.34165,                 1.4938,                0.09314,                 9.1534,                  1.577,              0.0019838,              0.0019838,              0.0019838
                     44,                 1.4189,                0.64735,                 1.3055,                  1.219,                0.86164,                0.61538,                0.69237,                0.35218,                0.86164,                0.61538,                0.69315,                 0.3284,                 1.5954,                0.08879,                 5.3329,                  1.747,              0.0019834,              0.0019834,              0.0019834
                     45,                 1.3816,                0.54251,                  1.077,                 1.2058,                0.86164,                0.61538,                0.69237,                0.35218,                0.86164,                0.61538,                0.69315,                 0.3284,                 1.5954,                0.08879,                 5.3329,                  1.747,               0.001983,               0.001983,               0.001983
                     46,                 1.2948,                0.50007,                 1.1261,                 1.2268,                0.69078,                0.84615,                0.80579,                0.38153,                0.69078,                0.84615,                0.80579,                0.38815,                 1.6273,                0.09751,                 2.8732,                 1.8527,              0.0019826,              0.0019826,              0.0019826
